S.N., time                   , place                                     , magnitude, longitude, latitude, depth
   1, 2024-12-28 07:02:12.064, Southern Tibetan Plateau                  ,      4.0 ,   86.7157,  28.3716, 10.0
   2, 2024-12-28 06:05:48.771, Southern Tibetan Plateau                  ,      4.2 ,   87.0514,  28.2962, 10.0
   3, 2024-12-20 22:29:02.221, "60 km WNW of Jumla, Nepal"               ,      5.0 ,   81.6099,  29.4923, 10.0
   4, 2024-12-19 01:52:46.050, "37 km NNE of Pokhara, Nepal"             ,      4.3 ,   84.1037,  28.5833, 10.0
   5, 2024-12-17 11:23:27.288, "55 km SSE of Burang, China"              ,      4.4 ,   81.3883,  29.831 , 20.081
   6, 2024-12-07 17:08:36.129, "51 km NNW of Dhārchula, India"           ,      4.0 ,   80.3295,  30.2844, 35.0
   7, 2024-10-14 16:47:47.648, "30 km NW of Bhojpur, Nepal"              ,      4.0 ,   86.7989,  27.3416, 10.0
   8, 2024-09-14 18:21:42.274, "75 km N of Jumla, Nepal"                 ,      4.4 ,   82.1893,  29.9563, 13.48
   9, 2024-08-30 22:01:59.157, "44 km N of Besisahar, Nepal"             ,      4.1 ,   84.3475,  28.6347, 10.0
  10, 2024-08-09 01:27:10.980, "5 km NW of Naya Bāzār, India"            ,      4.5 ,   88.1937,  27.1586, 35.0
  11, 2024-08-03 16:28:40.558, "188 km ENE of Saga, China"               ,      4.3 ,   87.0502,  29.9216, 10.0
  12, 2024-07-18 10:05:29.140, "178 km ENE of Saga, China"               ,      4.4 ,   86.9588,  29.8668, 10.0
  13, 2024-07-13 22:49:33.854, "189 km ENE of Saga, China"               ,      4.5 ,   86.9812,  30.0913, 10.0
  14, 2024-07-10 19:49:26.988, "158 km ENE of Saga, China"               ,      4.1 ,   86.7891,  29.7368, 14.586
  15, 2024-05-28 01:13:06.793, "45 km ESE of Dārchulā, Nepal"            ,      4.3 ,   81.0068,  29.7381, 26.184
  16, 2024-03-06 04:25:08.225, "50 km WNW of Burang, China"              ,      4.2 ,   80.6613,  30.4045, 10.0
  17, 2024-02-26 11:29:31.815, "86 km WNW of Rikaze, China"              ,      4.4 ,   88.0921,  29.6188, 89.466
  18, 2024-01-12 17:47:29.479, "34 km NNE of Dipayal, Nepal"             ,      4.3 ,   81.1253,  29.522 , 22.599
  19, 2024-01-07 18:46:35.171, "16 km NW of Namche Bazaar, Nepal"        ,      4.2 ,   86.6116,  27.9221, 10.0
  20, 2024-01-07 14:28:32.992, "44 km ENE of Kodāri̇̄, Nepal"              ,      4.5 ,   86.3806,  28.0886, 10.0
  21, 2024-01-07 14:08:34.933, "40 km WNW of Lobuche, Nepal"             ,      4.1 ,   86.4237,  28.0794, 10.0
  22, 2023-12-31 16:36:23.043, "27 km E of Nagarkot, Nepal"              ,      4.6 ,   85.799 ,  27.727 , 22.322
  23, 2023-12-04 19:04:15.283, "71 km NW of Gyalshing, India"            ,      4.4 ,   87.8388,  27.8117, 70.467
  24, 2023-11-27 22:15:46.743, "124 km WSW of Rikaze, China"             ,      4.7 ,   87.7852,  28.6795, 74.708
  25, 2023-11-22 19:34:26.202, "14 km W of Kirtipur, Nepal"              ,      3.8 ,   85.1323,  27.6889, 10.0
  26, 2023-11-20 05:52:27.597, "36 km NE of Dipayal, Nepal"              ,      4.4 ,   81.1707,  29.5224, 10.0
  27, 2023-11-06 10:46:39.805, "34 km E of Dailekh, Nepal"               ,      5.3 ,   82.0652,  28.8564, 10.0
  28, 2023-11-03 22:31:34.600, "34 km SSE of Jumla, Nepal"               ,      4.0 ,   82.2728,  28.976 , 10.0
  29, 2023-11-03 18:44:39.613, "27 km E of Dailekh, Nepal"               ,      4.1 ,   81.9912,  28.8332, 10.0
  30, 2023-11-03 18:02:53.465, "43 km E of Dailekh, Nepal"               ,      5.7 ,   82.1531,  28.858 , 12.0
  31, 2023-10-22 11:46:45.520, "28 km NE of Bharatpur, Nepal"            ,      4.0 ,   84.646 ,  27.8519, 26.661
  32, 2023-10-22 01:54:21.100, "36 km NE of Bharatpur, Nepal"            ,      5.2 ,   84.7252,  27.8879, 25.706
  33, 2023-10-18 16:18:48.676, "60 km NE of Dipayal, Nepal"              ,      4.5 ,   81.357 ,  29.6681, 10.0
  34, 2023-10-16 03:41:40.294, "36 km NE of Dārchulā, Nepal"             ,      4.2 ,   80.7774,  30.0924, 10.0
  35, 2023-10-12 20:06:44.075, "43 km NE of Dipayal, Nepal"              ,      4.4 ,   81.2129,  29.5722, 10.0
  36, 2023-10-11 18:37:21.967, "43 km NNE of Dipayal, Nepal"             ,      4.8 ,   81.1801,  29.5869, 10.0
  37, 2023-10-07 06:00:01.972, "38 km NE of Dipayal, Nepal"              ,      5.0 ,   81.2055,  29.5133, 10.0
  38, 2023-10-03 23:58:04.608, "61 km NNE of Dipayal, Nepal"             ,      4.3 ,   81.2904,  29.7245, 10.0
  39, 2023-10-03 19:05:41.024, "36 km NE of Dipayal, Nepal"              ,      4.4 ,   81.1691,  29.5231, 10.0
  40, 2023-10-03 11:53:17.879, "35 km NE of Dipayal, Nepal"              ,      4.5 ,   81.1706,  29.5106, 10.0
  41, 2023-10-03 11:34:10.972, "45 km NE of Dipayal, Nepal"              ,      4.8 ,   81.257 ,  29.5637, 10.0
  42, 2023-10-03 09:33:05.019, "17 km ENE of Dipayal, Nepal"             ,      4.2 ,   81.1092,  29.3074, 10.0
  43, 2023-10-03 09:28:43.898, "25 km E of Dipayal, Nepal"               ,      4.8 ,   81.2051,  29.2397, 10.0
  44, 2023-10-03 09:21:03.018, "39 km NE of Dipayal, Nepal"              ,      5.7 ,   81.242 ,  29.4973, 13.0
  45, 2023-10-03 08:55:50.480, "34 km NE of Dipayal, Nepal"              ,      4.9 ,   81.2188,  29.459 , 10.0
  46, 2023-08-18 17:49:38.408, "50 km NE of Lobuche, Nepal"              ,      4.3 ,   87.1512,  28.2888, 79.496
  47, 2023-08-05 20:04:11.934, western Xizang-India border region        ,      4.3 ,   80.7013,  30.2183, 10.0
  48, 2023-06-12 01:53:56.728, "75 km SSE of Burang, China"              ,      4.3 ,   81.5777,  29.71  , 27.16
  49, 2023-05-23 22:21:48.564, "52 km NE of Dipayal, Nepal"              ,      4.3 ,   81.2484,  29.6551, 10.0
  50, 2023-05-06 08:01:03.160, "107 km N of Lobuche, Nepal"              ,      4.3 ,   86.6245,  28.9028, 42.645
  51, 2023-04-27 19:45:53.627, "72 km NE of Dipayal, Nepal"              ,      5.1 ,   81.5483,  29.6212, 10.0
  52, 2023-04-27 18:13:51.853, "66 km ENE of Dipayal, Nepal"             ,      4.5 ,   81.5302,  29.5729, 10.0
  53, 2023-04-08 14:44:49.140, "79 km N of Lobuche, Nepal"               ,      4.3 ,   86.7146,  28.6582, 68.028
  54, 2023-04-01 05:42:20.397, "38 km SSE of Kodāri̇̄, Nepal"              ,      4.5 ,   86.1761,  27.6685, 10.0
  55, 2023-03-24 04:06:24.411, "52 km NW of Jumla, Nepal"                ,      4.2 ,   81.828 ,  29.6326, 30.882
  56, 2023-03-02 08:12:56.235, "64 km NE of Lobuche, Nepal"              ,      4.0 ,   87.3045,  28.3307, 10.0
  57, 2023-02-26 07:06:04.699, Nepal                                     ,      4.3 ,   81.127 ,  29.7352, 10.0
  58, 2023-02-22 08:00:22.588, "70 km WNW of Jumla, Nepal"               ,      4.8 ,   81.5737,  29.6254, 20.937
  59, 2023-02-12 22:45:05.505, "73 km NW of Mangan, India"               ,      4.0 ,   88.0003,  27.986 , 60.903
  60, 2023-01-24 08:58:33.123, "60 km NW of Jumla, Nepal"                ,      5.4 ,   81.6638,  29.5825, 33.11
  61, 2022-12-27 20:22:03.128, "48 km WNW of B?glung, Nepal"             ,      4.6 ,   83.1553,  28.4898, 18.597
  62, 2022-12-27 19:38:12.218, "55 km N of Chitre, Nepal"                ,      4.0 ,   83.6137,  28.926 , 24.596
  63, 2022-12-23 01:31:21.071, Nepal                                     ,      4.5 ,   83.1015,  28.4999, 10.0
  64, 2022-12-23 01:30:55.904, "58 km WNW of B?glung, Nepal"             ,      4.2 ,   83.0809,  28.5471, 10.0
  65, 2022-11-12 14:27:05.131, "25 km ENE of Dipayal, Nepal"             ,      5.2 ,   81.1777,  29.3523, 10.0
  66, 2022-11-09 23:28:02.358, Nepal                                     ,      4.3 ,   81.1564,  29.352 , 10.0
  67, 2022-11-09 00:57:14.321, "26 km WNW of Dh?rchula, India"           ,      4.4 ,   80.2903,  29.9803, 22.974
  68, 2022-11-08 20:27:22.316, Nepal                                     ,      5.7 ,   81.1593,  29.2917, 11.0
  69, 2022-11-08 15:22:35.973, "26 km ENE of Dipayal, Nepal"             ,      4.7 ,   81.1922,  29.3448, 10.0
  70, 2022-11-07 23:07:22.073, "108 km N of Lobujya, Nepal"              ,      4.2 ,   86.6701,  28.9207, 10.0
  71, 2022-10-30 03:41:50.868, "36 km NNE of Dipayal, Nepal"             ,      4.5 ,   81.0921,  29.5573, 10.0
  72, 2022-10-19 10:08:35.308, "16 km SSE of Kod?ri??, Nepal"            ,      4.2 ,   86.0362,  27.8248, 22.2
  73, 2022-10-19 09:22:40.123, "10 km SE of Kod?ri??, Nepal"             ,      4.9 ,   86.0386,  27.894 , 23.943
  74, 2022-08-19 19:42:42.048, "12 km NE of Dhaurahra, India"            ,      4.9 ,   81.1968,  28.0619, 10.0
  75, 2022-08-05 23:41:04.059, "31 km WNW of Kirtipur, Nepal"            ,      4.4 ,   84.9833,  27.7936, 10.0
  76, 2022-07-31 02:28:08.777, "26 km W of Bhojpur, Nepal"               ,      5.1 ,   86.7827,  27.1316, 10.0
  77, 2022-07-25 00:22:09.402, "20 km NNE of Nagarkot, Nepal"            ,      4.3 ,   85.5825,  27.8961, 10.0
  78, 2022-07-10 14:04:39.640, "37 km SE of D?rchul?, Nepal"             ,      4.2 ,   80.8736,  29.6405, 10.0
  79, 2022-06-22 22:11:46.712, "14 km ESE of Chitre, Nepal"              ,      4.6 ,   83.8247,  28.3742, 10.0
  80, 2022-06-10 20:51:21.586, "5 km NE of Madhyapur Thimi, Nepal"       ,      3.6 ,   85.4181,  27.7199, 15.03
  81, 2022-05-21 02:45:09.223, "43 km NE of Kod?ri??, Nepal"             ,      4.2 ,   86.2888,  28.2186, 70.83
  82, 2022-05-11 04:33:11.628, "16 km NW of Dh?rchula, India"            ,      4.9 ,   80.4219,  29.9682, 33.06
  83, 2022-04-09 18:38:37.466, "99 km NNW of Lobujya, Nepal"             ,      4.2 ,   86.5315,  28.8085, 10.0
  84, 2022-01-24 19:38:59.306, "21 km NW of Dh?rchula, India"            ,      4.0 ,   80.3548,  29.9803, 10.0
  85, 2022-01-13 03:13:54.822, "126 km WSW of Rikaze, China"             ,      4.1 ,   87.6854,  28.8094, 10.0
  86, 2022-01-06 18:29:13.484, "38 km NNE of Pachperwa, India"           ,      4.4 ,   82.8074,  27.8305, 10.0
  87, 2021-12-29 19:08:19.232, "18 km WNW of Dh?rchula, India"           ,      4.5 ,   80.3449,  29.9056, 10.0
  88, 2021-12-18 00:29:25.240, "99 km NE of Lobujya, Nepal"              ,      4.0 ,   87.5592,  28.5625, 10.0
  89, 2021-12-08 04:23:25.024, "121 km NE of Lobujya, Nepal"             ,      4.2 ,   87.5826,  28.8093, 41.26
  90, 2021-11-05 01:48:32.008, "115 km NNE of Lobujya, Nepal"            ,      5.0 ,   87.4455,  28.8267, 10.0
  91, 2021-10-18 10:32:14.377, "95 km NNE of Lobujya, Nepal"             ,      4.7 ,   87.2852,  28.7052, 10.0
  92, 2021-10-18 08:11:56.258, "24 km NE of Nagarkot, Nepal"             ,      4.2 ,   85.7193,  27.8507, 10.0
  93, 2021-10-18 08:01:37.426, "16 km WSW of Kod?ri??, Nepal"            ,      4.3 ,   85.8004,  27.901 , 10.0
  94, 2021-10-15 10:35:42.737, "124 km WSW of Rikaze, China"             ,      4.1 ,   87.6528,  28.9582, 10.0
  95, 2021-10-01 07:09:27.899, "33 km SSE of Kod?ri??, Nepal"            ,      4.5 ,   86.111 ,  27.694 , 10.0
  96, 2021-09-12 14:56:15.922, "47 km ESE of Dhulikhel, Nepal"           ,      4.4 ,   85.9978,  27.4834, 10.0
  97, 2021-06-21 10:06:50.953, "150 km NNE of Lobujya, Nepal"            ,      4.3 ,   87.124 ,  29.2822, 10.0
  98, 2021-05-25 20:46:06.127, "118 km ESE of Saga, China"               ,      4.5 ,   86.3755,  28.9684, 10.0
  99, 2021-05-19 16:54:29.784, "41 km E of Pokhara, Nepal"               ,      4.5 ,   84.3876,  28.2544, 10.0
 100, 2021-05-19 02:41:38.847, "33 km E of Pokhara, Nepal"               ,      4.9 ,   84.3042,  28.3088, 10.0
 101, 2021-05-18 23:57:58.646, "36 km E of Pokhara, Nepal"               ,      5.3 ,   84.3373,  28.2785, 10.0
 102, 2021-04-22 03:08:52.099, "207 km NW of Rikaze, China"              ,      4.1 ,   87.1751,  30.3858, 10.0
 103, 2021-03-16 13:16:08.835, "143 km NE of Saga, China"                ,      4.6 ,   86.3698,  30.1485, 10.0
 104, 2021-02-27 20:03:45.862, "104 km NNW of Lobujya, Nepal"            ,      4.1 ,   86.469 ,  28.8397, 15.43
 105, 2021-02-09 01:50:07.207, "87 km NW of Mangan, India"               ,      4.3 ,   87.8568,  28.0331, 35.0
 106, 2021-02-04 05:06:23.654, "104 km NNE of Lobujya, Nepal"            ,      5.1 ,   87.3785,  28.7463, 10.0
 107, 2021-02-02 16:14:13.363, "52 km NE of Chitre, Nepal"               ,      4.5 ,   84.0135,  28.8039, 29.41
 108, 2021-02-02 02:31:13.845, "110 km NNE of Lobujya, Nepal"            ,      5.0 ,   87.362 ,  28.8225,  8.7
 109, 2021-01-11 13:59:49.235, "92 km NE of Kh??db?ri??, Nepal"          ,      4.1 ,   87.7888,  28.028 , 35.0
 110, 2020-11-23 13:41:45.202, "80 km NNE of Lobujya, Nepal"             ,      4.4 ,   87.2271,  28.5808, 10.0
 111, 2020-11-23 13:36:04.648, "25 km NW of Kh??db?ri??, Nepal"          ,      4.5 ,   87.0358,  27.5457, 27.68
 112, 2020-11-21 21:49:21.520, "128 km NW of Rikaze, China"              ,      4.5 ,   88.1002,  30.1884, 10.0
 113, 2020-11-08 21:44:14.394, "68 km NE of Kh??db?ri??, Nepal"          ,      4.1 ,   87.7713,  27.7299, 10.0
 114, 2020-10-28 18:34:26.731, "16 km NNW of Dipayal, Nepal"             ,      4.2 ,   80.8988,  29.4069, 10.0
 115, 2020-09-15 23:34:03.386, "14 km SSW of Kod?ri??, Nepal"            ,      5.3 ,   85.8765,  27.8464, 10.0
 116, 2020-09-11 03:45:52.880, "40 km NNW of Il?m, Nepal"                ,      4.4 ,   87.7715,  27.2464, 10.0
 117, 2020-08-25 15:24:34.342, "32 km N of Dipayal, Nepal"               ,      4.3 ,   80.9299,  29.556 , 10.0
 118, 2020-08-23 17:07:43.232, "183 km NW of Rikaze, China"              ,      4.5 ,   87.5035,  30.3934, 10.0
 119, 2020-05-30 15:51:39.617, "45 km WNW of Kirtipur, Nepal"            ,      4.3 ,   84.8784,  27.8896, 10.0
 120, 2020-05-12 18:08:38.863, "29 km SSE of Kod?ri??, Nepal"            ,      4.9 ,   86.0378,  27.7046, 10.0
 121, 2020-03-24 23:39:29.603, "83 km NNE of Lobujya, Nepal"             ,      4.0 ,   87.2197,  28.6107, 10.0
 122, 2020-03-20 01:33:15.443, "85 km NE of Lobujya, Nepal"              ,      5.7 ,   87.3081,  28.5896, 10.0
 123, 2020-03-15 15:00:17.383, "5 km S of B?glung, Nepal"                ,      4.3 ,   83.5923,  28.2184, 10.0
 124, 2020-01-12 20:22:02.782, "61 km WNW of Jumla, Nepal"               ,      4.3 ,   81.5921,  29.4841, 10.0
 125, 2020-01-12 14:34:14.825, "51 km WNW of Jumla, Nepal"               ,      4.4 ,   81.705 ,  29.4848, 10.0
 126, 2020-01-05 13:16:52.055, "119 km NNE of Saga, China"               ,      4.3 ,   85.5587,  30.3664, 10.0
 127, 2020-01-05 13:14:02.142, "74 km NNE of Saga, China"                ,      4.4 ,   85.4049,  29.9815, 10.0
 128, 2019-12-12 13:26:31.828, "24 km W of Kod?ri??, Nepal"              ,      4.2 ,   85.7168,  27.9194, 10.0
 129, 2019-11-27 16:23:31.706, "22 km SW of Kod?ri??, Nepal"             ,      4.6 ,   85.8214,  27.7986, 10.0
 130, 2019-11-27 00:18:32.422, "96 km NW of Mangan, India"               ,      4.4 ,   87.8728,  28.1658, 64.65
 131, 2019-11-19 13:30:55.900, "20 km ENE of Dipayal, Nepal"             ,      5.0 ,   81.1433,  29.3228, 10.0
 132, 2019-11-12 02:00:26.426, "32 km NW of Dh?rchula, India"            ,      4.3 ,   80.2927,  30.0659, 10.0
 133, 2019-09-28 04:58:27.168, "45 km SE of Burang, China"               ,      4.4 ,   81.5319,  30.026 , 10.0
 134, 2019-09-26 13:04:21.563, "45 km N of Bharatpur, Nepal"             ,      4.4 ,   84.4371,  28.0869, 10.0
 135, 2019-09-22 16:17:01.966, "41 km ENE of Pokhara, Nepal"             ,      4.5 ,   84.3309,  28.4605, 18.23
 136, 2019-09-16 14:33:25.773, "24 km SE of D?rchul?, Nepal"             ,      4.5 ,   80.7419,  29.691 , 10.0
 137, 2019-08-27 09:57:51.030, "111 km NNW of Lobujya, Nepal"            ,      4.5 ,   86.4476,  28.9012, 10.0
 138, 2019-08-09 12:41:13.913, "31 km NW of B?glung, Nepal"              ,      4.4 ,   83.3273,  28.4321, 10.0
 139, 2019-06-17 17:58:20.595, "62 km NE of Lobujya, Nepal"              ,      4.6 ,   87.173 ,  28.4217, 84.75
 140, 2019-05-26 02:09:27.242, "174 km NW of Rikaze, China"              ,      4.8 ,   87.5686,  30.3347, 10.0
 141, 2019-05-26 01:44:55.302, "168 km NW of Rikaze, China"              ,      4.7 ,   87.661 ,  30.3288, 10.0
 142, 2019-05-25 15:23:59.917, "56 km NE of Dipayal, Nepal"              ,      4.0 ,   81.4056,  29.5741, 49.39
 143, 2019-05-25 05:17:24.276, "40 km WSW of Namche Bazar, Nepal"        ,      4.5 ,   86.3425,  27.6468, 10.0
 144, 2019-05-17 08:23:37.430, "42 km NE of Bharatpur, Nepal"            ,      4.7 ,   84.7453,  27.9487, 10.0
 145, 2019-05-11 18:51:01.960, "13 km W of Dailekh, Nepal"               ,      4.5 ,   81.5715,  28.8684, 31.28
 146, 2019-04-30 09:31:56.888, "27 km NNE of Saga, China"                ,      4.2 ,   85.3709,  29.533 , 10.0
 147, 2019-04-24 00:44:31.986, "22 km WNW of Kirtipur, Nepal"            ,      4.7 ,   85.0667,  27.7651, 27.34
 148, 2019-04-14 22:42:42.875, "44 km NE of Dipayal, Nepal"              ,      4.0 ,   81.2864,  29.5192, 10.0
 149, 2019-04-12 09:27:50.400, "169 km NW of Rikaze, China"              ,      4.5 ,   87.4938,  30.1742, 10.0
 150, 2019-03-06 00:45:51.040, "178 km NW of Rikaze, China"              ,      4.1 ,   87.368 ,  30.1682, 10.0
 151, 2019-02-07 05:35:48.490, "155 km NNE of Lobujya, Nepal"            ,      4.2 ,   87.2699,  29.2915, 10.0
 152, 2019-02-06 13:30:27.060, "150 km NNE of Lobujya, Nepal"            ,      4.1 ,   87.2216,  29.2611, 10.0
 153, 2019-01-22 16:45:15.580, "15 km NW of Bhojpur, Nepal"              ,      4.3 ,   86.9202,  27.2579, 10.0
 154, 2019-01-20 15:06:39.170, "171 km NW of Rikaze, China"              ,      4.7 ,   87.6754,  30.3859,  9.97
 155, 2019-01-20 14:28:30.290, "175 km NW of Rikaze, China"              ,      5.2 ,   87.6229,  30.3908,  9.85
 156, 2018-12-24 18:40:40.380, "177 km NW of Rikaze, China"              ,      4.2 ,   87.4245,  30.2227, 10.0
 157, 2018-12-23 19:36:56.920, "172 km NW of Rikaze, China"              ,      4.9 ,   87.4547,  30.1798, 10.0
 158, 2018-12-23 19:32:22.060, "177 km NW of Rikaze, China"              ,      5.8 ,   87.62  ,  30.4079, 10.0
 159, 2018-12-22 23:21:54.860, "7 km NNE of Nagarkot, Nepal"             ,      4.1 ,   85.5548,  27.7764, 10.0
 160, 2018-11-11 07:07:31.800, "14 km NE of D?rchul?, Nepal"             ,      4.5 ,   80.6472,  29.9248, 10.0
 161, 2018-10-31 23:09:01.530, "179 km NW of Rikaze, China"              ,      5.0 ,   87.4647,  30.2891, 10.0
 162, 2018-10-31 01:49:29.220, "172 km NW of Rikaze, China"              ,      4.7 ,   87.6483,  30.3789, 10.0
 163, 2018-10-22 15:10:05.270, "161 km NW of Rikaze, China"              ,      4.5 ,   87.6309,  30.2176, 11.42
 164, 2018-10-05 07:15:04.390, "18 km NW of Birendranagar, Nepal"        ,      4.3 ,   81.4792,  28.7099, 10.0
 165, 2018-10-05 07:08:11.750, "13 km WNW of Dailekh, Nepal"             ,      4.4 ,   81.5789,  28.874 , 10.0
 166, 2018-08-01 15:46:23.750, "173 km NW of Rikaze, China"              ,      5.2 ,   87.6027,  30.3493, 10.0
 167, 2018-08-01 15:45:31.740, "185 km NW of Rikaze, China"              ,      4.3 ,   87.4905,  30.4062, 10.0
 168, 2018-06-28 04:07:47.290, "45 km ENE of Bharatpur, Nepal"           ,      4.8 ,   84.8272,  27.8919, 10.0
 169, 2018-06-28 00:30:53.070, "182 km NW of Rikaze, China"              ,      4.2 ,   87.5273,  30.3943, 10.0
 170, 2018-06-20 04:15:26.410, "29 km NNW of Il?m, Nepal"                ,      4.4 ,   87.8133,  27.1508, 52.91
 171, 2018-06-20 04:08:59.880, "17 km E of Dhankut?, Nepal"              ,      4.4 ,   87.505 ,  26.9633, 38.3
 172, 2018-06-05 01:34:36.810, "64 km NW of Jumla, Nepal"                ,      4.7 ,   81.6777,  29.6464, 10.0
 173, 2018-05-10 20:01:51.640, "81 km NE of Lobujya, Nepal"              ,      4.4 ,   87.421 ,  28.4517,  4.66
 174, 2018-05-08 13:07:39.950, "61 km ENE of Lobujya, Nepal"             ,      4.0 ,   87.4282,  28.0604, 32.61
 175, 2018-03-01 17:27:17.180, "172 km NW of Rikaze, China"              ,      4.9 ,   87.6339,  30.362 , 11.41
 176, 2018-02-28 10:35:16.460, "187 km NW of Rikaze, China"              ,      4.0 ,   87.3792,  30.3194, 10.0
 177, 2018-02-08 20:56:30.090, "162 km NW of Rikaze, China"              ,      4.2 ,   87.8193,  30.3854, 10.0
 178, 2017-12-08 02:51:18.860, "28 km SE of Kod?ri??, Nepal"             ,      5.0 ,   86.1471,  27.7618, 10.0
 179, 2017-12-02 23:43:44.930, "17 km W of Gyalshing, India"             ,      4.2 ,   88.0806,  27.2856, 10.0
 180, 2017-11-07 19:06:41.830, "179 km NW of Rikaze, China"              ,      4.6 ,   87.4355,  30.2645,  9.83
 181, 2017-11-06 03:09:03.590, "51 km NE of Dipayal, Nepal"              ,      4.6 ,   81.2918,  29.6127, 10.0
 182, 2017-10-06 17:44:22.220, "167 km ENE of Saga, China"               ,      4.4 ,   86.7671,  30.0189, 10.0
 183, 2017-08-22 00:50:35.830, "25 km ENE of Dipayal, Nepal"             ,      4.6 ,   81.1558,  29.3871, 10.0
 184, 2017-08-21 12:03:13.970, "44 km SSE of Kod?ri??, Nepal"            ,      4.5 ,   86.1237,  27.5881, 10.0
